,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,CNT_FAM_MEMBERS
0,1,0,1,1,126000.0,4,4,0,1,-12301,-140,3.0
1,1,0,1,2,337500.0,0,4,1,1,-9732,-134,4.0
2,0,0,1,1,90000.0,4,1,1,1,-13546,-3373,3.0
3,1,1,1,1,157500.0,4,4,1,1,-17991,-3304,3.0
4,1,1,0,1,315000.0,0,1,1,5,-11689,-716,3.0
5,0,0,0,1,189000.0,4,4,1,1,-18979,-4487,3.0
6,0,0,0,1,360000.0,0,1,0,1,-14805,-1922,3.0
7,0,1,0,2,315000.0,4,1,1,1,-13793,-2653,4.0
8,1,0,0,1,135000.0,4,4,1,3,-15520,-2664,3.0
9,0,0,1,1,157500.0,4,4,1,1,-14133,-185,3.0
10,0,0,0,1,121500.0,4,4,0,1,-12716,-393,3.0
11,1,0,1,1,292500.0,0,4,0,1,-14785,-3018,3.0
12,0,0,1,1,225000.0,4,1,1,1,-13071,-1344,3.0
13,0,0,1,1,112500.0,4,4,1,1,-10989,-135,3.0
14,1,0,1,1,135000.0,4,4,1,1,-17152,-1359,3.0
15,0,0,0,2,76500.0,0,4,1,1,-11978,-370,4.0
16,0,1,1,1,189000.0,0,4,1,1,-10400,-1191,3.0
17,0,0,1,1,157500.0,4,4,1,1,-15879,-1740,3.0
18,1,1,1,1,315000.0,4,4,1,1,-20302,-973,3.0
19,0,1,1,1,211500.0,1,1,1,1,-10985,365243,3.0
20,1,0,0,2,382500.0,0,4,1,1,-10919,-378,4.0
21,0,0,1,1,180000.0,2,4,1,1,-14574,-964,3.0
22,0,1,0,1,112500.0,0,4,1,3,-14499,-2860,3.0
23,0,1,0,1,81000.0,4,4,1,1,-15062,-2014,3.0
24,0,0,0,1,247500.0,0,2,1,1,-12217,-2349,3.0
25,1,0,0,1,135000.0,0,4,1,1,-11296,-727,3.0
26,0,0,1,2,144000.0,4,4,1,1,-12393,-1854,4.0
27,0,0,1,1,247500.0,0,1,1,1,-14371,-1325,3.0
28,0,0,0,1,135000.0,0,4,1,5,-13689,-1172,3.0
29,1,1,1,1,270000.0,4,4,1,1,-14488,-1630,3.0
30,1,1,0,2,450000.0,4,4,1,1,-14970,-7183,4.0
31,1,1,1,1,225000.0,0,4,1,1,-11294,-1077,3.0
32,1,1,1,1,270000.0,0,4,1,1,-12415,-3667,3.0
33,0,0,0,2,85500.0,0,1,1,1,-13708,-4625,4.0
34,1,1,1,1,765000.0,4,1,1,1,-12197,-1194,3.0
35,0,1,1,1,180000.0,0,4,1,1,-16971,-1375,3.0
36,0,0,1,1,112500.0,2,4,1,1,-18791,-1003,3.0
37,1,1,0,1,112500.0,0,4,1,1,-17196,-1608,3.0
38,1,1,1,1,292500.0,4,4,1,1,-18569,-5389,3.0
39,0,0,1,1,247500.0,0,4,0,1,-11380,-1540,3.0
40,1,1,0,1,405000.0,0,1,1,1,-12179,-535,3.0
41,1,0,1,1,112500.0,4,4,1,1,-13180,-1495,3.0
42,1,1,0,1,157500.0,4,4,1,1,-14053,-1624,3.0
43,0,0,1,1,119250.0,4,4,1,1,-15931,-4404,3.0
44,1,1,1,1,450000.0,4,1,1,1,-10454,-1496,3.0
45,0,0,1,2,135000.0,0,4,1,1,-15485,-614,4.0
46,1,1,1,1,112500.0,4,4,1,1,-16150,-1618,3.0
47,0,1,0,2,135000.0,4,1,1,1,-12804,-4977,4.0
48,0,0,1,2,198000.0,0,2,2,1,-15646,-2811,3.0
49,0,1,1,2,225000.0,2,2,1,1,-14653,-8071,4.0
50,0,1,1,1,135000.0,4,1,1,1,-12071,-721,3.0
51,0,1,1,1,225000.0,0,1,1,1,-11241,-1327,3.0
52,1,1,0,2,202500.0,4,1,1,1,-11736,-727,4.0
53,0,0,1,1,135000.0,0,2,1,1,-9734,-2049,3.0
54,0,0,1,1,112500.0,2,4,1,1,-18791,-1003,3.0
55,0,1,0,1,405000.0,4,4,1,4,-13810,-1678,3.0
56,1,1,1,1,427500.0,4,1,1,1,-15085,-354,3.0
57,0,0,1,1,270000.0,2,4,1,1,-14400,-2512,3.0
58,1,0,1,1,180000.0,4,4,1,1,-11075,-349,3.0
59,0,0,0,1,202500.0,0,4,1,1,-11447,-3030,3.0
60,0,0,1,1,157500.0,0,4,1,1,-15377,-3544,3.0
61,1,1,1,1,427500.0,4,1,1,1,-15085,-354,3.0
62,0,0,1,1,243000.0,4,1,1,1,-14295,-5966,3.0
63,0,0,1,1,135000.0,0,2,1,1,-10288,-2616,3.0
64,0,1,1,1,157500.0,1,4,1,1,-20661,365243,3.0
65,1,0,1,2,90000.0,4,4,1,1,-10627,-3496,4.0
66,0,0,1,1,123750.0,4,4,1,1,-14352,-1081,3.0
67,0,0,1,1,85500.0,4,4,1,1,-16525,-859,3.0
68,1,0,1,1,202500.0,0,4,1,1,-14143,-275,3.0
69,1,1,1,2,157500.0,4,4,1,1,-14312,-4480,4.0
70,0,0,1,1,225000.0,0,4,1,1,-12245,-137,3.0
71,0,1,1,2,135000.0,2,4,1,1,-14683,-5355,4.0
72,1,0,1,2,270000.0,4,4,1,1,-13777,-460,4.0
73,0,0,1,2,90000.0,2,4,0,1,-12724,-2635,4.0
74,0,0,1,1,810000.0,0,4,0,1,-14843,-4297,3.0
75,0,0,1,2,135000.0,0,3,0,5,-9862,-1868,4.0
76,0,1,1,1,360000.0,4,1,1,1,-11619,-2475,3.0
77,0,1,1,2,540000.0,4,1,3,1,-14160,-422,3.0
78,0,1,1,1,360000.0,0,4,1,1,-15355,-2102,3.0
79,1,1,1,1,247500.0,4,4,1,1,-13537,-2329,3.0
80,0,1,1,2,144000.0,4,4,1,1,-11680,-3873,4.0
81,0,0,0,1,135000.0,0,4,0,1,-12873,-197,3.0
82,0,1,0,2,90000.0,4,4,1,1,-13135,-3657,4.0
83,1,1,1,1,360000.0,0,4,1,1,-17147,-1982,3.0
84,0,0,1,1,112500.0,4,4,1,1,-11472,-1026,3.0
85,0,0,0,2,112500.0,4,4,2,1,-14307,-188,3.0
86,1,1,1,2,247500.0,4,4,1,1,-10771,-1351,4.0
87,0,0,0,1,292500.0,4,2,1,1,-12454,-4030,3.0
88,1,0,1,1,202500.0,2,1,1,1,-10756,-2355,3.0
89,0,1,1,1,180000.0,0,2,0,1,-15445,-706,3.0
90,1,1,1,1,180000.0,0,4,1,1,-15988,-1994,3.0
91,0,0,1,2,202500.0,4,1,1,1,-13797,-3259,4.0
92,1,0,1,1,225000.0,4,4,1,1,-10321,-2808,3.0
93,0,0,1,2,157500.0,4,4,1,1,-13633,-1692,4.0
94,0,0,1,1,180000.0,4,4,1,1,-12605,-1312,3.0
95,0,0,1,1,270000.0,0,4,1,1,-13679,-4391,3.0
96,0,0,1,1,135000.0,0,4,1,5,-11034,-2421,3.0
97,0,0,1,1,180000.0,0,1,1,1,-19614,-2878,3.0
98,0,1,0,2,135000.0,2,1,1,1,-13495,-2357,4.0
99,1,0,0,1,135000.0,4,4,1,1,-12546,-2539,3.0
100,1,1,1,1,225000.0,4,4,1,1,-16175,-2371,3.0
101,0,0,0,2,157500.0,2,1,1,1,-12636,-5345,4.0
